"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","actor_2_facebook_likes","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","imdb_score","movie_facebook_likes","title_year"
"148",220,196,249,844,11000,133228348,5000,381672,17944,2,1694,1.75e+08,7.2,0,2004
"149",211,93,35,436,851,216366733,770,119213,2444,0,154,1.45e+08,6.9,17000,2012
"150",264,133,93,746,769,160201106,766,169914,2538,0,1185,1.42e+08,6.1,0,2002
"151",464,116,176,322,783,118099659,370,69757,2097,4,1211,1.44e+08,5.5,62000,2016
"152",167,153,0,537,13000,201573391,12000,322395,26029,0,1171,1.4e+08,6.6,11000,1998
"153",208,88,188,826,10000,190418803,3000,270207,14823,2,606,1.4e+08,6.1,2000,2002
"154",287,115,0,964,18000,82161969,12000,142440,31523,1,505,1.5e+08,6.3,3000,2007
"155",210,95,5,967,24000,143523463,11000,64322,36095,0,145,1.45e+08,7.2,24000,2016
"156",432,133,663,690,10000,209364921,10000,365104,21768,3,512,1.45e+08,7.4,35000,2011
"157",256,97,52,161,20000,103400692,315,123553,20645,0,174,1.45e+08,7.3,25000,2012
"158",135,90,23,233,957,110332737,550,110788,1997,1,258,1e+08,6.1,2000,2005
"159",190,154,380,445,10000,111110575,956,317166,11945,1,928,1.4e+08,7.7,0,2003
"160",314,150,0,748,23000,65007045,893,128682,26490,0,657,1.4e+08,6.1,51000,2014
"161",518,127,14000,981,26000,257704099,12000,504419,39284,0,1559,1.5e+08,8,19000,2009
"162",291,121,0,4000,24000,403706375,11000,544665,40484,0,2012,1.39e+08,7.3,5000,2002
"163",292,102,255,953,18000,176997107,3000,221128,23378,5,343,1.45e+08,7.9,46000,2014
"164",184,126,295,284,18000,31141074,934,51892,19769,4,273,1.4e+08,5.5,24000,2016
"165",145,121,357,653,820,31704416,780,45455,2705,0,388,1.35e+08,5,0,2005
"166",451,215,0,413,986,107503316,745,392474,2530,1,1229,1.3e+08,7.7,18000,2009
"167",141,127,503,91,5000,129734803,808,127497,6171,2,287,1.4e+08,6.6,0,1998
"168",267,138,0,258,820,132122995,300,212106,1814,0,1445,1.37e+08,5.7,0,2003
"169",351,122,209,934,17000,122512052,12000,146352,31958,6,288,1.3e+08,5.8,42000,2013
"170",163,124,42,848,11000,68642452,973,77673,13073,3,463,1.3e+08,6,0,2005
"171",166,106,6,422,12000,32131830,2000,72259,15015,1,788,1.37e+08,6.4,0,2001
"172",510,124,394,2000,11000,176636816,3000,508818,19761,0,679,1.4e+08,6.9,46000,2011
"173",197,128,150,244,766,126930660,536,157519,2037,2,683,1.35e+08,6.4,2000,1999
"174",244,138,608,168,613,93926386,172,168207,1205,1,684,1.5e+08,7.4,0,2003
"175",322,115,386,12000,21000,292298923,17000,185394,59177,3,329,1.2e+08,5.5,65000,2012
"176",156,100,750,988,49000,63992328,11000,32399,62644,0,79,1.35e+08,5.9,0,2011
"177",354,135,255,882,3000,134518390,1000,326286,5811,0,643,1.5e+08,6.8,0,2008
"178",21,60,NA,184,982,NA,321,16769,1687,2,74,1500000,7.5,0,NA
"179",252,117,14000,358,535,52792307,400,12572,1950,0,106,1.4e+08,6.8,27000,2016
"180",556,156,0,733,29000,183635922,27000,406020,57108,0,1188,1.35e+08,8.1,190000,2015
"181",166,96,13,463,16000,83024900,881,62424,17416,0,90,1.35e+08,6.5,13000,2013
"182",362,107,563,939,40000,123207194,1000,183208,43291,0,337,1.35e+08,7.2,26000,2011
"183",153,92,35,179,19000,83348920,411,60230,19963,0,118,1.32e+08,6.7,11000,2014
"184",329,115,521,883,13000,227137090,897,491077,17369,0,820,1.1e+08,8.1,0,2007
"185",266,92,54,562,11000,215395021,967,307029,12754,0,360,1.3e+08,7.6,6000,2008
"186",517,117,235,680,2000,180191634,2000,313866,5730,6,549,1.3e+08,7.4,61000,2015
"187",502,146,508,523,34000,424645577,14000,498397,49355,1,706,1.3e+08,7.6,82000,2013
"188",322,115,386,12000,21000,292298923,17000,185394,59177,3,329,1.2e+08,5.5,65000,2012
"189",165,94,12,183,17000,177343675,523,70121,17883,0,214,1.35e+08,6.7,26000,2015
"190",401,116,14000,807,10000,234277056,1000,334345,12758,0,2741,1.32e+08,6.5,0,2005
"191",94,147,0,877,10000,138396624,898,178126,12954,1,511,1.3e+08,6.6,0,2003
"192",246,90,50,397,4000,149234747,442,114287,5046,0,137,1.3e+08,6.7,16000,2011
"193",330,101,176,282,11000,118311368,702,245621,12406,1,514,1.1e+08,6.4,23000,2010
"194",434,138,0,8000,12000,101160529,9000,200022,32355,2,1240,1.25e+08,5.8,71000,2014
"195",440,107,14000,845,2000,77564037,871,177383,4631,1,447,1.35e+08,7.4,44000,2011
"196",274,142,0,10000,11000,249358727,10000,382255,33284,3,1504,1.3e+08,7.8,11000,2004
"197",245,165,1000,165,309,49551662,284,102338,921,0,450,1.3e+08,6.6,0,2008
"198",349,100,0,894,10000,60522097,943,158720,14168,0,744,1.3e+08,4.9,37000,2013
"199",145,82,0,388,1000,137748063,558,38438,2945,1,241,127500000,6.5,0,2000
"200",1,NA,0,159,10000,NA,570,381,11036,1,2,NA,7.5,40,2011
"201",154,98,189,1000,49000,113733726,3000,67223,53587,7,126,1.27e+08,6.2,11000,2014
"202",233,95,96,8000,24000,148337537,11000,172754,46120,3,187,1.3e+08,7.3,13000,2010
"203",258,159,0,645,11000,317557891,687,444683,13191,4,1571,1.25e+08,7.5,16000,2001
"204",208,96,124,1000,16000,33592415,12000,91640,31549,2,210,1.3e+08,5.6,20000,2013
"205",1,120,28,12,544,NA,106,374,699,0,13,NA,8.2,0,2016
"206",271,143,563,1000,40000,305388685,5000,809474,48184,3,2113,1.4e+08,8.1,10000,2003
"207",4,NA,0,1000,10000,NA,2000,252,14719,1,2,NA,6.4,25,2010
"208",403,123,508,14000,34000,337103873,22000,305008,81385,1,591,1.25e+08,6.7,52000,2014
"209",294,174,2000,362,15000,217536138,574,314253,16008,2,1966,1.25e+08,6.6,0,2006
"210",159,101,107,56,688,131536019,237,58498,1031,0,99,1.03e+08,6.4,0,2014
"211",289,134,0,346,20000,214948780,505,405973,20952,4,1055,1.1e+08,7.5,0,2003
"212",342,132,681,12000,23000,209805005,14000,284792,55345,3,366,1.25e+08,7.3,54000,2011
"213",382,129,0,154,21000,186830669,979,338635,22403,2,412,1.25e+08,7.5,39000,2011
"214",344,106,255,850,14000,163192114,1000,229679,18003,0,637,1.25e+08,5.8,15000,2010
"215",196,113,719,217,605,119412921,308,240241,1441,0,391,6.5e+07,7.5,0,1990
"216",85,102,323,241,845,32694788,372,101411,1815,1,546,8.5e+07,6.6,0,1999
"217",436,135,209,602,10000,113165635,826,229823,12175,0,504,1.25e+08,6.7,31000,2012
"218",183,125,541,409,920,107285004,890,189855,2699,3,1018,1.25e+08,3.7,0,1997
"219",175,110,2000,636,1000,260031035,722,141414,4146,0,482,1.23e+08,6,0,2000
"220",239,124,776,812,15000,186739919,2000,333248,20553,0,1159,1.25e+08,6.4,19000,2004
"221",237,123,610,653,10000,215397307,794,242188,11930,0,1426,1.25e+08,6.1,0,2000
"222",231,130,249,461,784,182618434,638,133076,2684,0,779,1.4e+08,6.4,0,2000
"223",262,92,167,702,11000,131920333,2000,213275,15302,3,436,1.3e+08,5.6,0,2007
"224",552,127,0,341,774,124976634,358,440084,2121,0,755,1.2e+08,8,122000,2012
"225",276,123,160,402,12000,115802596,701,182661,14017,1,681,1.1e+08,5.2,0,2007
"226",267,123,521,265,13000,108521835,365,40123,13752,0,297,1.2e+08,7.1,31000,2016
"227",102,107,368,1000,2000,100685880,1000,100821,4046,0,554,1.2e+08,4.8,0,2003
"228",775,124,0,641,13000,126464904,9000,456260,24098,0,2326,1.3e+08,7,97000,2012
"229",71,77,50,537,886,64736114,799,36471,2682,0,69,1.2e+08,5.4,459,2002
"230",476,109,662,1000,13000,93050117,2000,338087,17689,0,814,1.15e+08,6.6,61000,2013
"231",207,134,123,567,14000,57637485,850,183909,17159,0,666,1.05e+08,6.7,0,2004
"232",492,117,294,1000,10000,58607007,2000,182899,14161,0,630,1e+08,6.2,60000,2014
"233",284,135,0,87,690,43929341,107,57873,902,0,414,1.2e+08,6.1,0,2008
"234",168,121,274,157,273,30212620,216,35066,993,4,196,1.2e+08,5.3,0,2010
"235",283,117,446,877,10000,76418654,973,148280,12731,0,348,1.17e+08,6.3,11000,2010
"236",539,124,364,1000,11000,89021735,10000,387436,22004,0,892,1.2e+08,7,71000,2013
"237",359,140,0,4000,20000,380262555,16000,520104,44042,4,3286,1.13e+08,7.6,10000,2005
"238",284,142,0,4000,20000,310675583,16000,464310,42990,3,3516,1.15e+08,6.7,0,2002
"239",250,92,0,773,12000,289907418,1000,585659,15013,0,593,1.15e+08,8.1,0,2001
"240",440,138,446,929,20000,132550960,992,328067,23755,1,533,1.2e+08,6.7,68000,2013
"241",320,136,0,1000,20000,474544677,14000,534658,37723,1,3597,1.15e+08,6.5,13000,1999
"242",257,98,16,12000,16000,187165546,15000,150618,43286,3,195,1.35e+08,7.3,28000,2013
"243",33,116,0,141,936,NA,276,20567,1609,1,36,7.8e+07,5.1,291,2008
"244",152,153,610,617,12000,40911830,836,55994,15046,0,454,1.15e+08,6,0,2002
"245",231,120,19,9000,26000,47952020,11000,37750,46719,2,134,1.15e+08,6.1,16000,2016
"246",348,101,473,429,833,190871240,809,167085,2690,0,491,1.25e+08,5.9,62000,2014
"247",738,91,0,13,39,274084951,23,582917,87,0,1885,1e+08,7.8,147000,2013
"248",93,108,79,268,650,67155742,293,62271,1569,1,277,1.16e+08,5.8,0,1997
"249",181,112,13,799,5000,81638674,833,17533,8306,NA,115,1.35e+08,6.3,12000,2016
"250",369,100,128,78,596,56114221,360,110486,1261,3,695,1.2e+08,4.3,41000,2015
"251",179,108,189,1000,49000,250863268,3000,234480,55486,2,444,1.1e+08,6.4,3000,2006
"252",358,114,62,884,12000,155181732,2000,147497,16718,0,499,1.1e+08,6.1,52000,2015
"253",160,119,55,387,811,125332007,766,149680,2958,3,328,1.1e+08,6.5,0,1997
"254",192,142,776,1000,13000,113330342,2000,207613,19454,1,1144,1.1e+08,7.1,4000,2000
"255",198,125,0,350,11000,125531634,8000,284852,19359,0,627,1.1e+08,6.4,0,2004
"256",233,126,218,322,11000,186336103,11000,348861,22722,2,798,1.2e+08,6.5,0,2005
"257",263,119,124,1000,14000,129995817,5000,154621,22622,0,258,1.1e+08,6.3,27000,2015
"258",267,170,17000,827,29000,102608827,3000,264318,34582,0,799,1.1e+08,7.5,0,2004
"259",184,85,11,116,480,42776259,392,53160,1173,1,121,1.12e+08,4.9,0,2010
"260",447,119,1000,741,11000,98780042,1000,136019,13391,0,443,1.2e+08,5.8,14000,2011
"261",29,60,NA,432,669,NA,554,25402,1655,4,97,NA,7.6,0,NA
"262",366,102,263,1000,6000,106369117,1000,225273,10583,0,523,1.1e+08,6.2,71000,2014
"263",172,103,67,111,383,142614158,113,66593,692,3,153,1.1e+08,5.5,31000,2011
"264",104,76,6,421,12000,50026353,513,13581,13607,0,88,1.1e+08,5.4,304,2004
"265",181,120,124,943,6000,66002193,5000,44296,12452,3,144,1.1e+08,5.8,12000,2016
"266",327,127,189,544,20000,85463309,929,254841,22254,1,426,1.1e+08,7.1,36000,2011
"267",125,105,67,40,681,71017784,71,27257,914,3,59,1.05e+08,5.4,0,2013
"268",79,121,101,202,673,48068396,368,60573,2027,0,248,1.6e+08,3.7,894,1997
"269",326,114,151,430,11000,61656849,635,184561,12908,4,554,1.1e+08,6.7,123000,2013
"270",354,129,235,297,13000,134520804,300,336235,13961,1,782,1.1e+08,7.2,0,2007
"271",297,171,0,857,16000,313837577,5000,1238746,22342,2,5060,9.3e+07,8.8,21000,2001
"272",188,120,153,447,1000,24004159,1000,68720,3175,0,191,1.1e+08,5.8,0,2004
"273",174,165,0,780,10000,58183966,851,79186,14196,1,386,1.07e+08,6.8,0,2001
"274",109,82,34,434,760,100446895,743,36033,2762,1,456,1.09e+08,3.8,946,2003
"275",225,115,295,466,10000,144795350,981,387632,12068,1,789,1.2e+08,7.1,0,2004
"276",239,194,0,195,14000,47396698,5000,217373,19600,1,942,1.3e+08,7.2,0,2005
"277",101,84,50,692,979,140015224,886,94172,3382,0,179,1.33e+08,5.9,0,1999
"278",228,97,63,525,852,104374107,578,89351,2480,0,214,1.05e+08,7.1,5000,2009
"279",568,151,0,372,13000,228430993,801,472488,14831,1,1023,1.08e+08,8.1,153000,2015
"280",NA,22,0,NA,5,NA,NA,6,5,0,NA,NA,7.2,0,NA
"281",257,136,0,3000,19000,35799026,12000,263329,34839,1,899,1.26e+08,6.9,0,2005
"282",62,104,23,591,752,6712451,631,4102,3133,0,89,9e+07,4.4,53,2001
"283",175,127,57,3000,12000,101643008,11000,218341,29069,1,498,9e+07,6.5,0,2000
"284",265,171,0,695,3000,187670866,933,982637,6521,0,2368,1.03e+08,8.5,21000,2000
"285",252,145,14000,533,10000,132014112,798,399651,12546,0,1331,1.02e+08,7.7,0,2002
"286",232,174,0,9000,11000,261970615,10000,387616,35672,1,858,1e+08,7.4,0,2002
"287",400,144,258,834,6000,167007184,1000,470483,9125,1,2301,1.5e+08,8,0,2006
"288",230,119,13000,567,1000,180011740,658,177725,2776,0,1368,1e+08,5.7,0,2001
"289",210,153,0,539,780,204843350,604,744891,2829,0,983,1.02e+08,8.5,13000,1991
"290",357,140,0,1000,40000,97030725,23000,230931,64599,1,585,1e+08,7,0,2009
"291",300,176,0,561,18000,130127620,782,324671,20354,0,458,1e+08,7.8,0,2007
"292",94,141,0,618,2000,146282411,1000,190439,4528,0,351,1.15e+08,7.2,0,1994
